position,content,type,speaker
2,"(The DreamWorks Pictures logo plays out, with dreamy music playing underneath. At the end of the logo, the S's in ""DreamWorks"" and ""SKG"" turn green and grow out ogre ears, matching the film's logo. Credits saying ""DreamWorks Pictures Presents"" and ""A PDI/DreamWorks Production"" appear.)",action,
3,(A ray of light shines down on a leather-bound storybook. The book opens and a Scottish-accented voice begins reading its text),action,
4,"Once upon a time there was a lovely princess. But she had an enchantment upon her of a fearful sort which could only be broken by love's first kiss. She was locked away in a castle guarded by a terrible fire-breathing dragon. Many brave knights had attempted to free her from this dreadful prison, but none prevailed. She waited in the dragon's keep in the highest room of the tallest tower. For her true love and true love's first kiss.",dialog,Shrek
5,(Shrek chuckles and rips out a page of the book and closes it),action,
6,Like that's ever gonna happen. What a load of - (toilet flushes),dialog,Shrek
7,"(""All Star"" by Smash Mouth Playing)",action,
8,"(We see an outhouse and hear the sound of a toilet flushing. Out steps Shrek, an ogre, who tugs at his underwear and shakes his foot of the page still stuck to his shoe. He looks lovingly at the swamp he calls home, and goes about his daily routine. Which is taking a mud shower, brushing his teeth with bugs, bathing in a muddy pond, gathering giant slugs for dinner, and painting a warning sign)",action,
9,"(In a nearby village, an angry mob gather up to go after Shrek. At night they gather their torches and pitchforks and enter the swamp, trampling over Shrek's warning signs. Shrek sees them after investigating the commotion, rolling his eyes. The villagers stop outside Shrek's home, unaware that Shrek is sneaking up behind them)",action,
10,NIGHT - NEAR SHREK'S SWAMP,setting,
11,Think it's in there?,dialog,Villager 1
12,All right. Let's get it!,dialog,Villager 2
13,Whoa. Hold on. Do you know what that thing can do to you?,dialog,Villager 1
14,"Yeah, it'll grind your bones for its bread.",dialog,Villager 3
15,"(Shrek chuckles, revealing himself to be standing behind the mob)",action,
16,"Yes, well, actually, that would be a giant.",dialog,Shrek
17,(The mob gasps),action,
18,"Now, ogres, oh they're much worse. They'll make a suit from your freshly peeled skin...",dialog,Shrek
19,(Shrek slowly approaches as the villagers back away in fear),action,
20,No!,dialog,Villager
21,"They'll shave your liver. Squeeze the jelly from your eyes! Actually, it's quite good on toast.",dialog,Shrek
22,"Back! Back, beast! Back! I warn ya!",dialog,Villager 1
23,"(The villager waves his torch in Shrek's face. Shrek casually licks his fingers and pinches the flame, extinguishing the torch. The villager drops it)",action,
24,Right.,dialog,Villager 1
25,"(Shrek terrifies the mob with a great frightening roar, his spit extinguishing all the remaining torches. He wipes his mouth and waits for the villagers to stop screaming)",action,
26,(whispering) This is the part where you run away.,dialog,Shrek
27,(gasping),dialog,Villagers
28,(Shrek laughs as the men drop their torches and pitchforks and run away as fast they can),action,
29,And stay out!,dialog,Shrek
30,(He looks down and picks up a wanted poster dropped by one of the villagers. He reads it aloud),action,
31,"""Wanted. Fairytale creatures""?",dialog,SHREK
32,(He sighs and walks off. dropping the poster to the ground),action,
33,THE NEXT DAY - FOREST,setting,
34,"Fairy tale creatures are put in chains and led into wagons by Duloc Guards. The Captain of the Duloc Guards sits at a table paying a line of people their rewards for turning in the fairytale creatures. Those waiting in line include Peter Pan, who is carrying Tinkerbell in a cage, Geppetto who is carrying Pinocchio, and a farmer carrying the Three Little Pigs.",setting,
35,All right. This one's full. Take it away! Move it along. Come on! Get up!,dialog,Guard
36,Next!,dialog,The Captain
37,(Taking the witch's broom) Give me that! Your flying days are over. (breaks the broom in half),dialog,Guard
38,That's 20 pieces of silver for the witch. Next!,dialog,The Captain
39,(The captain hands over the reward to the villager who turned the witch in. The villager mutters to himself),action,
40,Lousy 20 pieces.,dialog,Villager
41,Get up! Come on!,dialog,Guard
42,(Waiting in line is Donkey on a leash and his owner. He looks in horror at the witch and a group of dwarves being loaded into a wagon),action,
43,Sit down there! Keep quiet!,dialog,Guard
44,"Mama Bear and Papa Bear are locked inside giant cages, with Little Bear in his own cage",setting,
45,(crying) This cage is too small.,dialog,Little Bear
46,"(To his owner) Please, don't turn me in. I'll never be stubborn again. I can change. Please! Give me another chance!",dialog,Donkey
47,"Oh, shut up. (smacks Donkey)",dialog,Old Woman
48,Next! What have you got?,dialog,The Captain
49,This little wooden puppet.,dialog,Geppetto
50,I'm not a puppet. I'm a real boy. (his nose grows),dialog,Pinocchio
51,5 shillings for the possessed toy. Take it away.,dialog,The Captain
52,"Father, please! Don't let them do this! Help me!",dialog,Pinocchio
53,(Geppetto takes the money and walks off. The old woman steps up to the table),action,
54,Next! What have you got?,dialog,The Captain
55,"Well, I've got a talking donkey.",dialog,Old Woman
56,"Right. Well, that's good for 10 shillings. If you can prove it.",dialog,The Captain
57,"Oh, go ahead, little fella. (Donkey stays silent)",dialog,Old Woman
58,Well?,dialog,The Captain
